Title,Image,Price,Stock,Stars,Description,Upc,Price excl tax,Price incl tax,Tax
A Court of Thorns and Roses (A Court of Thorns and Roses #1),http://books.toscrape.com/media/cache/0a/78/0a78f89fc2dc78b700b494c3510e8920.jpg,£28.09,In stock (16 available),One,"A thrilling, seductive new series from New York Times bestselling author Sarah J. Maas, blending Beauty and the Beast with faerie lore.When nineteen-year-old huntress Feyre kills a wolf in the woods, a beast-like creature arrives to demand retribution for it. Dragged to a treacherous magical land she only knows about from legends, Feyre discovers that her captor is not an A thrilling, seductive new series from New York Times bestselling author Sarah J. Maas, blending Beauty and the Beast with faerie lore.When nineteen-year-old huntress Feyre kills a wolf in the woods, a beast-like creature arrives to demand retribution for it. Dragged to a treacherous magical land she only knows about from legends, Feyre discovers that her captor is not an animal, but Tamlin—one of the lethal, immortal faeries who once ruled their world.As she dwells on his estate, her feelings for Tamlin transform from icy hostility into a fiery passion that burns through every lie and warning she's been told about the beautiful, dangerous world of the Fae. But an ancient, wicked shadow grows over the faerie lands, and Feyre must find a way to stop it... or doom Tamlin—and his world—forever.Perfect for fans of Kristin Cashore and George R. R. Martin, this first book in a sexy and action-packed new series is impossible to put down! ...more",01d2001ac1e6f8a3,£52.37,£52.37,£0.00
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",http://books.toscrape.com/media/cache/9f/25/9f25ffe4229a32d1368b3dfe248c3343.jpg,£43.29,In stock (16 available),Two,"Children are disappearing in the Fire Nation capitol! Avatar Aang and his friends are doing everything in their power to save them - but will it be enough?!What's worse, when Azula - the mad sister of Fire Lord Zuko - appears on the scene, Zuko locks down the capitol to catch her, igniting fear and riots in the streets! Will Zuko follow in his evil father's footsteps in or Children are disappearing in the Fire Nation capitol! Avatar Aang and his friends are doing everything in their power to save them - but will it be enough?!What's worse, when Azula - the mad sister of Fire Lord Zuko - appears on the scene, Zuko locks down the capitol to catch her, igniting fear and riots in the streets! Will Zuko follow in his evil father's footsteps in order to save those he holds dear?!Written and drawn by the creative team behind the best-selling The Promise, The Search and The Rift, Gene Luen Yang and Gurihiru, in collaboration with Avatar: The Last Airbender and Legend of Korra creators Michael Dante DiMartino and Bryan Konietzko, this is the ultimate continuation of Avatar and the perfect companion to Legend of Korra! ...more",6d5300b2d8f37e07,£28.09,£28.09,£0.00
Crown of Midnight (Throne of Glass #2),http://books.toscrape.com/media/cache/b7/7d/b77d5e56daa3c22822abf1b8affbaef9.jpg,£56.40,In stock (16 available),Three,"""A line that should never be crossed is about to be breached.It puts this entire castle in jeopardy—and the life of your friend.""From the throne of glass rules a king with a fist of iron and a soul as black as pitch. Assassin Celaena Sardothien won a brutal contest to become his Champion. Yet Celaena is far from loyal to the crown. She hides her secret vigilantly; she know ""A line that should never be crossed is about to be breached.It puts this entire castle in jeopardy—and the life of your friend.""From the throne of glass rules a king with a fist of iron and a soul as black as pitch. Assassin Celaena Sardothien won a brutal contest to become his Champion. Yet Celaena is far from loyal to the crown. She hides her secret vigilantly; she knows that the man she serves is bent on evil.Keeping up the deadly charade becomes increasingly difficult when Celaena realizes she is not the only one seeking justice. As she tries to untangle the mysteries buried deep within the glass castle, her closest relationships suffer. It seems no one is above questioning her allegiances—not the Crown Prince Dorian; not Chaol, the Captain of the Guard; not even her best friend, Nehemia, a foreign princess with a rebel heart.Then one terrible night, the secrets they have all been keeping lead to an unspeakable tragedy. As Celaena's world shatters, she will be forced to give up the very thing most precious to her and decide once and for all where her true loyalties lie... and whom she is ultimately willing to fight for. ...more",7267864328ae8b9d,£43.29,£43.29,£0.00
City of Glass (The Mortal Instruments #3),http://books.toscrape.com/media/cache/10/66/106624e3f3bf865390255be16dfb71d8.jpg,£37.51,In stock (14 available),Four,"Also see: Alternate Cover Editions for this ISBN [ACE] ACE #1 To save her mother's life, Clary must travel to the City of Glass, the ancestral home of the Shadowhunters - never mind that entering the city without permission is against the Law, and breaking the Law could mean death. To make things worse, she learns that Jace does not want her there, and Simon has been thr Also see: Alternate Cover Editions for this ISBN [ACE] ACE #1 To save her mother's life, Clary must travel to the City of Glass, the ancestral home of the Shadowhunters - never mind that entering the city without permission is against the Law, and breaking the Law could mean death. To make things worse, she learns that Jace does not want her there, and Simon has been thrown in prison by the Shadowhunters, who are deeply suspicious of a vampire who can withstand sunlight.As Clary uncovers more about her family's past, she finds an ally in mysterious Shadowhunter Sebastian. With Valentine mustering the full force of his power to destroy all Shadowhunters forever, their only chance to defeat him is to fight alongside their eternal enemies. But can Downworlders and Shadowhunters put aside their hatred to work together? While Jace realizes exactly how much he's willing to risk for Clary, can she harness her newfound powers to help save the Glass City - whatever the cost?Love is a mortal sin and the secrets of the past prove deadly as Clary and Jace face down Valentine in the third installment of the New York Times bestselling series The Mortal Instruments. ...more",966ebb738e0f9d9b,£56.02,£56.02,£0.00
King's Folly (The Kinsman Chronicles #1),http://books.toscrape.com/media/cache/fc/17/fc17b4149d87d9ee714dde082ede0ee9.jpg,£56.63,In stock (7 available),Five,"The gods are angry.Volcanic eruptions, sinkholes, ground shakers--everything points to their unhappiness. At least that is what the king of Armania believes. His son, Prince Wilek, thinks his father's superstitions are nonsense, though he remains the ever dutiful heir apparent to the throne.When a messenger arrives and claims that the town of Farway has been swallowed by t The gods are angry.Volcanic eruptions, sinkholes, ground shakers--everything points to their unhappiness. At least that is what the king of Armania believes. His son, Prince Wilek, thinks his father's superstitions are nonsense, though he remains the ever dutiful heir apparent to the throne.When a messenger arrives and claims that the town of Farway has been swallowed by the earth, the king sends Wilek to investigate. But what Wilek discovers is more cataclysmic than one lost city. Even as the ground shifts beneath his feet, Wilek sets out on a desperate journey to save his people and his world. But can he do it before the entire land crumbles? ...more",4c82371b8cd02d4d,£39.61,£39.61,£0.00
A Shard of Ice (The Black Symphony Saga #1),http://books.toscrape.com/media/cache/9d/9b/9d9bf1a3155fb3736d2fe12799dcca95.jpg,£32.30,In stock (9 available),Three,"THEIR SOULS, REAWAKENED.When 13-year-old Lilix Morgan is found alive and floating on a bed of ice at sea, everyone counts it a miracle. Kidnapped nearly four weeks earlier, she remembers nothing of her mysterious abduction. When she tries to remember what happened, she hears only a melody – a faint and delicate set of notes, strung together in a tune she doesn’t understand THEIR SOULS, REAWAKENED.When 13-year-old Lilix Morgan is found alive and floating on a bed of ice at sea, everyone counts it a miracle. Kidnapped nearly four weeks earlier, she remembers nothing of her mysterious abduction. When she tries to remember what happened, she hears only a melody – a faint and delicate set of notes, strung together in a tune she doesn’t understand. THEIR POWER, UNMATCHED.A year later and desperate to put the lingering nightmares of her past behind her, Lilix crosses the country to enroll at Baelmorte Academy, aiming to become the violinist she once dreamt of. Things seem to be finally going well, and Lilix settles into a routine of sheet music and inspiration among new friends.Then the dreams start. The melody and night terrors she thought she’d left behind return with a vengeance, threatening to ruin her fragile version of normalcy. Then an unlikely ally tells her that she isn’t alone. That there are others just like her, fighting to hide their own shocking truths from coming to light. That they know who she is, and what she’s been through. Now, accompanied by four other girls, Lilix discovers her nightmares are larger than a single trauma; they’re a window to a hidden part of her soul, a place of immense power with a destiny that cannot be ignored. THEIR BATTLE, IS ONLY BEGINNING.With this knowledge comes a new and frightening reality. For Lilix has been reawakened to stop an age-old enemy, one thought to have been destroyed centuries ago. Trapped by her destiny, Lilix is torn between what feels right and what she remembers. Her memories tell her of a star-crossed love waiting to be reunited, of friendships and trust broken in the past. But can she save that love when reality brings her an enemy, and an evil that will be the undoing of them all if they don’t destroy it? ...more",63d5f1651880dcea,£56.63,£56.63,£0.00
The Star-Touched Queen,http://books.toscrape.com/media/cache/dc/57/dc57f908a0a2e130a5c065893a9005dd.jpg,£38.73,In stock (12 available),Five,"Fate and fortune. Power and passion. What does it take to be the queen of a kingdom when you’re only seventeen?Maya is cursed. With a horoscope that promises a marriage of death and destruction, she has earned only the scorn and fear of her father’s kingdom. Content to follow more scholarly pursuits, her whole world is torn apart when her father, the Raja, arranges a weddi Fate and fortune. Power and passion. What does it take to be the queen of a kingdom when you’re only seventeen?Maya is cursed. With a horoscope that promises a marriage of death and destruction, she has earned only the scorn and fear of her father’s kingdom. Content to follow more scholarly pursuits, her whole world is torn apart when her father, the Raja, arranges a wedding of political convenience to quell outside rebellions. Soon Maya becomes the queen of Akaran and wife of Amar. Neither roles are what she expected: As Akaran’s queen, she finds her voice and power. As Amar’s wife, she finds something else entirely: Compassion. Protection. Desire…But Akaran has its own secrets—thousands of locked doors, gardens of glass, and a tree that bears memories instead of fruit. Soon, Maya suspects her life is in danger. Yet who, besides her husband, can she trust? With the fate of the human and Otherworldly realms hanging in the balance, Maya must unravel an ancient mystery that spans reincarnated lives to save those she loves the most…including herself. ...more",4a7a25be293ad678,£32.30,£32.30,£0.00
Masks and Shadows,http://books.toscrape.com/media/cache/05/c4/05c43fe821ae19169c7baa8a54c7e869.jpg,£13.34,In stock (16 available),Two,"The year is 1779, and Carlo Morelli, the most renowned castrato singer in Europe, has been invited as an honored guest to Eszterháza Palace. With Carlo in Prince Nikolaus Esterházy's carriage, ride a Prussian spy and one of the most notorious alchemists in the Habsburg Empire. Already at Eszterháza is Charlotte von Steinbeck, the very proper sister of Prince Nikolaus's mis The year is 1779, and Carlo Morelli, the most renowned castrato singer in Europe, has been invited as an honored guest to Eszterháza Palace. With Carlo in Prince Nikolaus Esterházy's carriage, ride a Prussian spy and one of the most notorious alchemists in the Habsburg Empire. Already at Eszterháza is Charlotte von Steinbeck, the very proper sister of Prince Nikolaus's mistress. Charlotte has retreated to the countryside to mourn her husband's death. Now, she must overcome the ingrained rules of her society in order to uncover the dangerous secrets lurking within the palace's golden walls. Music, magic, and blackmail mingle in a plot to assassinate the Habsburg Emperor and Empress--a plot that can only be stopped if Carlo and Charlotte can see through the masks worn by everyone they meet. ...more",fa9610a50a1bf149,£56.40,£56.40,£0.00
The Beast (Black Dagger Brotherhood #14),http://books.toscrape.com/media/cache/d4/76/d4761761d26eb7fe1ba0a9480913a8ca.jpg,£52.11,In stock (4 available),Five,"Rhage and Mary return in a new novel of the Black Dagger Brotherhood, a series “so popular, I don’t think there’s a reader today who hasn’t at least heard of [it]” (USA Today).Nothing is as it used to be for the Black Dagger Brotherhood. After avoiding war with the Shadows, alliances have shifted and lines have been drawn. The slayers of the Lessening Society are stronger Rhage and Mary return in a new novel of the Black Dagger Brotherhood, a series “so popular, I don’t think there’s a reader today who hasn’t at least heard of [it]” (USA Today).Nothing is as it used to be for the Black Dagger Brotherhood. After avoiding war with the Shadows, alliances have shifted and lines have been drawn. The slayers of the Lessening Society are stronger than ever, preying on human weakness to acquire more money, more weapons, more power. But as the Brotherhood readies for an all-out attack on them, one of their own fights a battle within himself…For Rhage, the Brother with the biggest appetites, but also the biggest heart, life was supposed to be perfect—or at the very least, perfectly enjoyable. Mary, his beloved shellan, is by his side and his King and his brothers are thriving. But Rhage can’t understand—or control—the panic and insecurity that plague him…And that terrifies him—as well as distances him from his mate. After suffering mortal injury in battle, Rhage must reassess his priorities—and the answer, when it comes to him, rocks his world...and Mary’s. But Mary is on a journey of her own, one that will either bring them closer together or cause a split that neither will recover from... ...more",8930013d06942df1,£46.08,£46.08,£0.00
A Feast for Crows (A Song of Ice and Fire #4),http://books.toscrape.com/media/cache/6f/b7/6fb724034c86041a52b247ae53613413.jpg,£45.51,In stock (5 available),Four,"With A Feast for Crows, Martin delivers the long-awaited fourth volume of the landmark series that has redefined imaginative fiction and stands as a modern masterpiece in the making.After centuries of bitter strife, the seven powers dividing the land have beaten one another into an uneasy truce. But it's not long before the survivors, outlaws, renegades, and carrion eaters With A Feast for Crows, Martin delivers the long-awaited fourth volume of the landmark series that has redefined imaginative fiction and stands as a modern masterpiece in the making.After centuries of bitter strife, the seven powers dividing the land have beaten one another into an uneasy truce. But it's not long before the survivors, outlaws, renegades, and carrion eaters of the Seven Kingdoms gather. Now, as the human crows assemble over a banquet of ashes, daring new plots and dangerous new alliances are formed while surprising faces—some familiar, others only just appearing—emerge from an ominous twilight of past struggles and chaos to take up the challenges of the terrible times ahead. Nobles and commoners, soldiers and sorcerers, assassins and sages, are coming together to stake their fortunes...and their lives. For at a feast for crows, many are the guests—but only a few are the survivors. ...more",f2c8f4b4c94d5c5c,£17.21,£17.21,£0.00
Tell the Wind and Fire,http://books.toscrape.com/media/cache/bf/77/bf77b0c1f1bda1cd7297325066a7f337.jpg,£56.00,In stock (5 available),Three,"In a city divided between opulent luxury in the Light and fierce privations in the Dark, a determined young woman survives by guarding her secrets. Lucie Manette was born in the Dark half of the city, but careful manipulations won her a home in the Light, celebrity status, and a rich, loving boyfriend. Now she just wants to keep her head down, but her boyfriend has a dark In a city divided between opulent luxury in the Light and fierce privations in the Dark, a determined young woman survives by guarding her secrets. Lucie Manette was born in the Dark half of the city, but careful manipulations won her a home in the Light, celebrity status, and a rich, loving boyfriend. Now she just wants to keep her head down, but her boyfriend has a dark secret of his own—one involving an apparent stranger who is destitute and despised.Lucie alone knows of the deadly connection the young men share, and even as the knowledge leads her to make a grave mistake, she can trust no one with the truth.Blood and secrets alike spill out when revolution erupts. With both halves of the city burning, and mercy nowhere to be found, can Lucie save either boy—or herself?Celebrated author Sarah Rees Brennan tells a magical tale of romance and revolution, love and loss. ...more",84126312e2431a09,£45.51,£45.51,£0.00
The False Prince (The Ascendance Trilogy #1),http://books.toscrape.com/media/cache/36/b1/36b1333456d4c6b28e90d1157d37bc0e.jpg,£57.74,In stock (5 available),Five,"The False Prince is the thrilling first book in a brand-new trilogy filled with danger and deceit and hidden identities that will have readers rushing breathlessly to the end.In a discontent kingdom, civil war is brewing. To unify the divided people, Conner, a nobleman of the court, devises a cunning plan to find an impersonator of the king’s long-lost son and install him The False Prince is the thrilling first book in a brand-new trilogy filled with danger and deceit and hidden identities that will have readers rushing breathlessly to the end.In a discontent kingdom, civil war is brewing. To unify the divided people, Conner, a nobleman of the court, devises a cunning plan to find an impersonator of the king’s long-lost son and install him as a puppet prince. Four orphans are recruited to compete for the role, including a defiant boy named Sage. Sage knows that Conner’s motives are more than questionable, yet his life balances on a sword’s point—he must be chosen to play the prince or he will certainly be killed. But Sage’s rivals have their own agendas as well.As Sage moves from a rundown orphanage to Conner’s sumptuous palace, layer upon layer of treachery and deceit unfold, until finally, a truth is revealed that, in the end, may very well prove more dangerous than all of the lies taken together.An extraordinary adventure filled with danger and action, lies and deadly truths that will have readers clinging to the edge of their seats. ...more",a2a9f76339d21ab1,£56.00,£56.00,£0.00
The Raven Boys (The Raven Cycle #1),http://books.toscrape.com/media/cache/68/b0/68b05bbf33c6b8e2914f35ad14a0d2d8.jpg,£44.81,In stock (5 available),Four,"Every year, Blue Sargent stands next to her clairvoyant mother as the soon-to-be dead walk past. Blue never sees them--until this year, when a boy emerges from the dark and speaks to her.His name is Gansey, a rich student at Aglionby, the local private school. Blue has a policy of staying away from Aglionby boys. Known as Raven Boys, they can only mean trouble.But Blue is Every year, Blue Sargent stands next to her clairvoyant mother as the soon-to-be dead walk past. Blue never sees them--until this year, when a boy emerges from the dark and speaks to her.His name is Gansey, a rich student at Aglionby, the local private school. Blue has a policy of staying away from Aglionby boys. Known as Raven Boys, they can only mean trouble.But Blue is drawn to Gansey, in a way she can't entirely explain. He is on a quest that has encompassed three other Raven Boys: Adam, the scholarship student who resents the privilege around him; Ronan, the fierce soul whose emotions range from anger to despair; and Noah, the taciturn watcher who notices many things but says very little.For as long as she can remember, Blue has been warned that she will cause her true love to die. She doesn't believe in true love, and never thought this would be a problem. But as her life becomes caught up in the strange and sinister world of the Raven Boys, she's not so sure anymore. ...more",e0b3a679b83caccc,£57.74,£57.74,£0.00
A Gathering of Shadows (Shades of Magic #2),http://books.toscrape.com/media/cache/c3/1a/c31af6fddfa452d9d746a599f35dcc01.jpg,£12.16,In stock (7 available),Four,"It has been four months since a mysterious obsidian stone fell into Kell's possession. Four months since his path crossed with Delilah Bard. Four months since Prince Rhy was wounded, and since the nefarious Dane twins of White London fell, and four months since the stone was cast with Holland's dying body through the rift – back into Black London.Now, restless after having It has been four months since a mysterious obsidian stone fell into Kell's possession. Four months since his path crossed with Delilah Bard. Four months since Prince Rhy was wounded, and since the nefarious Dane twins of White London fell, and four months since the stone was cast with Holland's dying body through the rift – back into Black London.Now, restless after having given up his smuggling habit, Kell is visited by dreams of ominous magical events, waking only to think of Lila, who disappeared from the docks as she always meant to do. As Red London finalizes preparations for the Element Games – an extravagant international competition of magic meant to entertain and keep healthy the ties between neighboring countries – a certain pirate ship draws closer, carrying old friends back into port.And while Red London is caught up in the pageantry and thrills of the Games, another London is coming back to life. After all, a shadow that was gone in the night will reappear in the morning. But the balance of magic is ever perilous, and for one city to flourish, another London must fall. ...more",d1378a0ad06ff979,£44.81,£44.81,£0.00
Every Heart a Doorway (Every Heart A Doorway #1),http://books.toscrape.com/media/cache/b8/d7/b8d7eab895dac4551905c5f85849bb32.jpg,£22.37,In stock (7 available),Five,"Eleanor West’s Home for Wayward ChildrenNo SolicitationsNo VisitorsNo QuestsChildren have always disappeared under the right conditions; slipping through the shadows under a bed or at the back of a wardrobe, tumbling down rabbit holes and into old wells, and emerging somewhere... else.But magical lands have little need for used-up miracle children.Nancy tumbled once, but n Eleanor West’s Home for Wayward ChildrenNo SolicitationsNo VisitorsNo QuestsChildren have always disappeared under the right conditions; slipping through the shadows under a bed or at the back of a wardrobe, tumbling down rabbit holes and into old wells, and emerging somewhere... else.But magical lands have little need for used-up miracle children.Nancy tumbled once, but now she’s back. The things she’s experienced... they change a person. The children under Miss West’s care understand all too well. And each of them is seeking a way back to their own fantasy world.But Nancy’s arrival marks a change at the Home. There’s a darkness just around each corner, and when tragedy strikes, it’s up to Nancy and her new-found schoolmates to get to the heart of the matter.No matter the cost. ...more",4fa75fc6829431ca,£12.16,£12.16,£0.00
